lon,lat,clay,sand
324175,4314535,20.5,42.8
324175,4314675,21.8,45.1
324265,4314665,20.2,65.9
324355,4314675,22.8,40.5
324125,4314595,19.2,43.9
323275,4316475,30.5,35.3
323255,4316505,34.3,44.2
323255,4316535,31.9,31.3
323275,4316555,33.4,18
323285,4316555,33.1,27.6
323285,4316635,24.4,29.7
323265,4316675,37,21.3
323485,4316515,24,44.3
323455,4316515,22.9,48
323435,4316465,28,35.3
323445,4316465,30.5,35.3
323485,4316475,30.6,19.8
323485,4316465,35.5,28.9
323495,4316445,30.4,31.6
323505,4316435,32,23.4
323515,4316395,33.1,35
323495,4316375,35.5,30.2
323515,4316375,32.1,29.7
323505,4316445,26.9,25.8
323485,4316455,25.4,42.8
323475,4316495,30.5,30.2
323305,4316595,30.6,32.4
323425,4316595,21.7,49.1
323385,4316605,24.1,48
323415,4316495,22.9,44.3
323655,4316405,32,28.3
323355,4316325,37,27.5
323655,4316405,29.7,36.7
323325,4316365,46.1,34.8
323315,4316215,29.6,19
323265,4316345,33.2,27.3
324205,4308405,25.4,37.7
324145,4308485,24.5,24.1
324105,4308555,25.5,31.2
324095,4308525,25.5,37.4
324075,4308535,25.5,38.9
324045,4308425,22.9,42.8
324075,4308335,31,21.5
324065,4308365,29.4,22.3
320885,4313585,28.4,30.5
320885,4313585,30.6,33.6
320915,4313635,22.1,44.3
320895,4313645,28,40.1
320885,4313655,31.1,39.1
327965,4313925,21.7,45.1
327915,4313995,33.2,22.2
328035,4313995,38.2,8.2
328065,4313995,34.7,16.5
320855,4313615,26.7,36.5
320865,4313625,24.7,39
320815,4313675,20.5,54.1
320795,4313655,24.1,48
321135,4316105,27.3,29.8
320865,4313575,25.8,34.3
320875,4313565,28.1,35
320885,4313575,29.4,29.7
320905,4313555,29.4,34.9
320915,4313565,29.6,26.6
320945,4313565,25.7,42.2
320945,4313585,29.3,38.9
320955,4313605,21.7,41.3
320965,4313595,34.5,31.1
320945,4313565,28,38.9
320955,4313525,26.6,48.1
320915,4313525,28,33.7
320885,4313565,26.9,30.9
320825,4313685,30.7,39.8
320845,4313685,26.8,43.9
320705,4313705,19,53.1
320695,4313695,21.5,55.7
320645,4313675,22.8,44.1
320655,4313655,30.8,28
320695,4313645,24,35.5
320645,4313625,19.1,51.7
320735,4313625,22.8,46.8
320835,4313645,22.8,48.1
320825,4313665,25.5,51.6
320875,4313615,32.1,30.7
321225,4316135,16.2,59.3
321225,4316115,5.1,75.7
321245,4316125,18.6,47.8
321265,4316135,30.6,24.7
321095,4315975,22.9,45.4
321085,4315965,20.3,44.2
321115,4316115,28.5,26.2
321145,4316135,29.5,16.7
320995,4316245,28.3,26.7
320995,4316255,24.5,29.1
320975,4316235,21.8,30.6
320965,4316255,19.2,30.7
321105,4316085,32.3,28.8
320895,4316095,20.7,15.8
320955,4316235,24.4,26.9
321265,4316235,28,26.1
321195,4316205,29.3,27.2
